scenario,Year,cropland_ha,pasture_ha,feed_cropland_ha,livestock_land_ha,foregone_co2e_tonnes,land_opportunity_cost_usd
high,2000,1618371653.0,3772742861.4,534062645.49,4306805506.89,35890045890.75,7178009178150.001
high,2001,1620303213.7,3771940377.6,534700060.521,4306640438.121,35888670317.675,7177734063535.0
high,2002,1619364938.2,3765058004.0,534390429.606,4299448433.606,35828736946.71667,7165747389343.334
high,2003,1624973723.3,3741308972.8,536241328.689,4277550301.489,35646252512.40833,7129250502481.667
high,2004,1630497911.0,3694609585.5,538064310.63,4232673896.13,35272282467.75001,7054456493550.001
high,2005,1637002624.2,3696371504.3,540210865.986,4236582370.286,35304853085.71667,7060970617143.334
high,2006,1637369219.9,3696260181.5,540331842.567,4236592024.067,35304933533.89167,7060986706778.334
high,2007,1639858144.6,3686237098.0,541153187.718,4227390285.718,35228252380.98334,7045650476196.667
high,2008,1641470461.3,3673767783.3,541685252.229,4215453035.529,35128775296.075005,7025755059215.001
high,2009,1649664737.9,3664289388.5,544389363.507,4208678752.007,35072322933.39167,7014464586678.334
high,2010,1651842519.5,3664268878.6,545108031.4350001,4209376910.035,35078140916.958336,7015628183391.667
high,2011,1661994227.3,3676619212.7,548458095.0090001,4225077307.709,35208977564.24167,7041795512848.334
high,2012,1669553536.6,3668625316.2,550952667.0780001,4219577983.278,35163149860.65,7032629972130.0
high,2013,1673882416.8,3654693460.5,552381197.544,4207074658.044,35058955483.700005,7011791096740.0
high,2014,1677187242.9,3652034268.4,553471790.1570001,4205506058.557,35045883821.308334,7009176764261.667
high,2015,1683126045.1,3625397516.2,555431594.883,4180829111.083,34840242592.35834,6968048518471.667
high,2016,1684090823.6,3619386256.5,555749971.788,4175136228.288,34792801902.4,6958560380480.001
high,2017,1686874184.1,3645978734.4,556668480.753,4202647215.153,35022060126.275,7004412025255.0
high,2018,1690183560.6,3630350490.6,557760574.998,4188111065.598,34900925546.65,6980185109330.0
high,2019,1688602324.0,3633486900.5,557238766.92,4190725667.42,34922713895.16667,6984542779033.334
high,2020,1693520774.8999999,3626090755.6,558861855.717,4184952611.317,34874605094.308334,6974921018861.667
high,2021,1695308390.1,3631129339.3,559451768.733,4190581108.033,34921509233.60834,6984301846721.667
high,2022,1694875824.2,3627876183.3,559309021.9860001,4187185205.286,34893210044.05,6978642008810.0
low,2000,1618371653.0,3772742861.4,534062645.49,4306805506.89,10767013767.225,538350688361.25
low,2001,1620303213.7,3771940377.6,534700060.521,4306640438.121,10766601095.3025,538330054765.125
low,2002,1619364938.2,3765058004.0,534390429.606,4299448433.606,10748621084.015,537431054200.75
low,2003,1624973723.3,3741308972.8,536241328.689,4277550301.489,10693875753.7225,534693787686.125
low,2004,1630497911.0,3694609585.5,538064310.63,4232673896.13,10581684740.325,529084237016.25
low,2005,1637002624.2,3696371504.3,540210865.986,4236582370.286,10591455925.715,529572796285.75
low,2006,1637369219.9,3696260181.5,540331842.567,4236592024.067,10591480060.1675,529574003008.375
low,2007,1639858144.6,3686237098.0,541153187.718,4227390285.718,10568475714.295,528423785714.75
low,2008,1641470461.3,3673767783.3,541685252.229,4215453035.529,10538632588.8225,526931629441.125
low,2009,1649664737.9,3664289388.5,544389363.507,4208678752.007,10521696880.0175,526084844000.875
low,2010,1651842519.5,3664268878.6,545108031.4350001,4209376910.035,10523442275.0875,526172113754.375
low,2011,1661994227.3,3676619212.7,548458095.0090001,4225077307.709,10562693269.272501,528134663463.625
low,2012,1669553536.6,3668625316.2,550952667.0780001,4219577983.278,10548944958.195,527447247909.75
low,2013,1673882416.8,3654693460.5,552381197.544,4207074658.044,10517686645.11,525884332255.5
low,2014,1677187242.9,3652034268.4,553471790.1570001,4205506058.557,10513765146.3925,525688257319.625
low,2015,1683126045.1,3625397516.2,555431594.883,4180829111.083,10452072777.7075,522603638885.375
low,2016,1684090823.6,3619386256.5,555749971.788,4175136228.288,10437840570.72,521892028536.0
low,2017,1686874184.1,3645978734.4,556668480.753,4202647215.153,10506618037.8825,525330901894.125
low,2018,1690183560.6,3630350490.6,557760574.998,4188111065.598,10470277663.995,523513883199.75
low,2019,1688602324.0,3633486900.5,557238766.92,4190725667.42,10476814168.55,523840708427.5
low,2020,1693520774.8999999,3626090755.6,558861855.717,4184952611.317,10462381528.2925,523119076414.625
low,2021,1695308390.1,3631129339.3,559451768.733,4190581108.033,10476452770.0825,523822638504.125
low,2022,1694875824.2,3627876183.3,559309021.9860001,4187185205.286,10467963013.215,523398150660.75
mid,2000,1618371653.0,3772742861.4,534062645.49,4306805506.89,21534027534.45,2153402753445.0
mid,2001,1620303213.7,3771940377.6,534700060.521,4306640438.121,21533202190.605,2153320219060.5
mid,2002,1619364938.2,3765058004.0,534390429.606,4299448433.606,21497242168.03,2149724216803.0
mid,2003,1624973723.3,3741308972.8,536241328.689,4277550301.489,21387751507.445,2138775150744.5
mid,2004,1630497911.0,3694609585.5,538064310.63,4232673896.13,21163369480.65,2116336948065.0
mid,2005,1637002624.2,3696371504.3,540210865.986,4236582370.286,21182911851.43,2118291185143.0
mid,2006,1637369219.9,3696260181.5,540331842.567,4236592024.067,21182960120.335,2118296012033.5
mid,2007,1639858144.6,3686237098.0,541153187.718,4227390285.718,21136951428.59,2113695142859.0
mid,2008,1641470461.3,3673767783.3,541685252.229,4215453035.529,21077265177.645,2107726517764.5
mid,2009,1649664737.9,3664289388.5,544389363.507,4208678752.007,21043393760.035,2104339376003.5
mid,2010,1651842519.5,3664268878.6,545108031.4350001,4209376910.035,21046884550.175,2104688455017.5
mid,2011,1661994227.3,3676619212.7,548458095.0090001,4225077307.709,21125386538.545002,2112538653854.5
mid,2012,1669553536.6,3668625316.2,550952667.0780001,4219577983.278,21097889916.39,2109788991639.0
mid,2013,1673882416.8,3654693460.5,552381197.544,4207074658.044,21035373290.22,2103537329022.0
mid,2014,1677187242.9,3652034268.4,553471790.1570001,4205506058.557,21027530292.785,2102753029278.5
mid,2015,1683126045.1,3625397516.2,555431594.883,4180829111.083,20904145555.415,2090414555541.5
mid,2016,1684090823.6,3619386256.5,555749971.788,4175136228.288,20875681141.44,2087568114144.0
mid,2017,1686874184.1,3645978734.4,556668480.753,4202647215.153,21013236075.765,2101323607576.5
mid,2018,1690183560.6,3630350490.6,557760574.998,4188111065.598,20940555327.99,2094055532799.0
mid,2019,1688602324.0,3633486900.5,557238766.92,4190725667.42,20953628337.1,2095362833710.0
mid,2020,1693520774.8999999,3626090755.6,558861855.717,4184952611.317,20924763056.585,2092476305658.5
mid,2021,1695308390.1,3631129339.3,559451768.733,4190581108.033,20952905540.165,2095290554016.5
mid,2022,1694875824.2,3627876183.3,559309021.9860001,4187185205.286,20935926026.43,2093592602643.0
